2021-11-11 16:24:32+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",think,,66,16,323
2021-11-11 15:46:21+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ilze Millere,,66,826,4499
2021-11-11 15:40:04+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Modris Šteimaks,,66,0,1
2021-11-11 14:57:47+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Lolita,Riga,66,24,14443
2021-11-11 14:48:36+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ines,Lauki,66,7,557
2021-11-11 14:31:50+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",ir_una,,66,32,1773
2021-11-11 14:17:20+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",marta,Latvia,66,35,836
2021-11-11 14:16:34+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ilze Kuzmina,,66,310,4492
2021-11-11 14:11:59+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Matīss,,66,39,904
2021-11-11 14:10:59+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ingvilda,Riga,66,928,40763
2021-11-11 14:06:46+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Skaidrite Iesalniece,,66,151,5783
2021-11-11 13:43:28+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Līga,Rīga/ Jēkabpils,66,855,12606
2021-11-11 13:43:14+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",AE #paliecmājās🎄,Riga,66,4286,642710
2021-11-11 13:42:37+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ieva,,66,155,6262
2021-11-11 13:35:51+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",JK #vaccinate,"Riga, Latvia, EU",66,106,3625
2021-11-11 13:22:33+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Inga Rungaine,,66,49,503
2021-11-11 13:06:54+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Inese Putniece,"Latvia, Europe",66,1038,22084
2021-11-11 12:44:53+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ivo Skudikis,LATVIA,66,512,3307
2021-11-11 12:32:05+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Futbola fans,,66,1108,3992
2021-11-11 12:29:13+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Martastante,Latvia,66,5104,175231
2021-11-11 12:10:38+00:00,"RT @NFrancuzevics: Es mīlu Tevi, Latvija ❤🇱🇻❤
#Latvija #Seda #Latvia 🇱🇻 

https://t.co/IOWd2KEDhT","['Latvija', 'Seda', 'Latvia']",🌐 Jānis A.Z.,"Jurmala, Latvia",2,2017,194534
2021-11-11 12:05:50+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Juris Baltacs,,66,632,2609
2021-11-11 12:05:10+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ingrīda 💙💛,,66,187,18145
2021-11-11 12:04:31+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']","Ta-da, ta-da",,66,2,32
2021-11-11 11:41:45+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Jānis Priede,LV,66,177,6477
2021-11-11 11:20:16+00:00,"RT @JurgisKreilis: Krāsu valstībā
https://t.co/xuyesQBbGE

#rudens #latvijasdaba #latvija #krāsas #zeltarudens #dronafoto #fotoardronu #dro…","['rudens', 'latvijasdaba', 'latvija', 'krāsas', 'zeltarudens', 'dronafoto', 'fotoardronu']",FilmDay,"Riga, Latvia",1,95,394
2021-11-11 11:03:18+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Anita Skenderska,,66,154,34983
2021-11-11 11:02:48+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ieva,,66,50,1319
2021-11-11 11:02:30+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Elita,Latvia,66,45,1696
2021-11-11 11:02:02+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Ilze Vītola,Latvija,66,185,13646
2021-11-11 10:53:55+00:00,"Skataies grupas @SestaJudze  jaunās un smeldzīgās dziesmas ""Vectēvs"" pirmizrādi @LatvijasTV raidījumā ""Latvijas Sir… https://t.co/PFOoyhhuWO",[],MicRec,Rīga Latvija,0,2116,7821
2021-11-11 10:53:34+00:00,"RT @vx_lv: Lai kur tu arī nebūtu, esi un cīnies ar Latviju sirdī! 
#Latvija #11novembris #18novembris https://t.co/L8oX62Tsal","['Latvija', '11novembris', '18novembris']",Oļiniete,,66,101,3883
